scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.029062499999999998,28,77.4
CFSScheduler,2,0.0359375,28,90.96
CFSScheduler,3,0.036875,34,126.3
CFSScheduler,4,0.0434375,46,76.97058823529412
CFSScheduler,5,0.0378125,29,74.3529411764706
CFSScheduler,6,0.0403125,41,83.89285714285714
CFSScheduler,7,0.036875,40,90.5925925925926
CFSScheduler,8,0.0340625,30,91.88571428571429
CFSScheduler,9,0.040625,41,84.88571428571429
CFSScheduler,10,0.03375,29,84.5
CFSScheduler,11,0.04,39,76.8108108108108
CFSScheduler,12,0.0346875,29,86.6923076923077
CFSScheduler,13,0.03125,19,97.73529411764706
CFSScheduler,14,0.0328125,32,93.5
CFSScheduler,15,0.0409375,36,94.3103448275862
CFSScheduler,16,0.04,33,84.82352941176471
CFSScheduler,17,0.0384375,33,80.71428571428571
CFSScheduler,18,0.031875,33,98.38235294117646
CFSScheduler,19,0.03875,34,80.63333333333334
CFSScheduler,20,0.0384375,33,85.61764705882354
CFSScheduler,21,0.0378125,35,82.8
CFSScheduler,22,0.03375,38,88.86666666666666
CFSScheduler,23,0.0434375,44,88.05
CFSScheduler,24,0.033125,30,82.02702702702703
CFSScheduler,25,0.0375,33,88.21875
CFSScheduler,26,0.037187500000000005,25,81.61904761904762
CFSScheduler,27,0.0325,27,89.79310344827586
CFSScheduler,28,0.0403125,35,78.72972972972973
CFSScheduler,29,0.0403125,41,97.32432432432432
CFSScheduler,30,0.0440625,45,74.75757575757575
PriorityScheduler,1,0.0340625,41,98.59375
PriorityScheduler,2,0.04125,40,85.6774193548387
PriorityScheduler,3,0.043750000000000004,42,80.3030303030303
PriorityScheduler,4,0.0359375,35,87.81818181818181
PriorityScheduler,5,0.04,42,97.35135135135135
PriorityScheduler,6,0.036875,31,88.36666666666666
PriorityScheduler,7,0.034374999999999996,28,88.51724137931035
PriorityScheduler,8,0.041875,40,90.44736842105263
PriorityScheduler,9,0.0396875,45,100.05714285714286
PriorityScheduler,10,0.0378125,39,90.52
PriorityScheduler,11,0.0434375,48,80.23529411764706
PriorityScheduler,12,0.0353125,36,90.875
PriorityScheduler,13,0.041875,30,81.97058823529412
PriorityScheduler,14,0.0365625,28,69.02941176470588
PriorityScheduler,15,0.034999999999999996,36,91.96296296296296
PriorityScheduler,16,0.0375,27,79.4074074074074
PriorityScheduler,17,0.0346875,28,74.20588235294117
PriorityScheduler,18,0.04,38,75.04
PriorityScheduler,19,0.0365625,29,73.15384615384616
PriorityScheduler,20,0.033437499999999995,27,80.28
PriorityScheduler,21,0.0390625,35,84.86111111111111
PriorityScheduler,22,0.0384375,46,78.58620689655173
PriorityScheduler,23,0.035625000000000004,33,87.80645161290323
PriorityScheduler,24,0.036875,29,94.48148148148148
PriorityScheduler,25,0.034374999999999996,38,83.20588235294117
PriorityScheduler,26,0.034999999999999996,33,91.63333333333334
PriorityScheduler,27,0.03875,38,109.75
PriorityScheduler,28,0.034999999999999996,23,87.2
PriorityScheduler,29,0.0365625,44,105.36666666666666
PriorityScheduler,30,0.0325,27,85.57142857142857
SingleACOScheduler,1,0.0378125,3,97.90625
SingleACOScheduler,2,0.0346875,12,99.36363636363636
SingleACOScheduler,3,0.0346875,8,67.10810810810811
SingleACOScheduler,4,0.0396875,10,99.28
SingleACOScheduler,5,0.0390625,18,83.15789473684211
SingleACOScheduler,6,0.0421875,8,82.80645161290323
SingleACOScheduler,7,0.0440625,19,89.34615384615384
SingleACOScheduler,8,0.0328125,4,95.64
SingleACOScheduler,9,0.036875,12,91.56410256410257
SingleACOScheduler,10,0.041875,13,89.13333333333334
SingleACOScheduler,11,0.037187500000000005,8,85.125
SingleACOScheduler,12,0.03625,6,83.66666666666667
SingleACOScheduler,13,0.0434375,4,96.39473684210526
SingleACOScheduler,14,0.0390625,8,91.53571428571429
SingleACOScheduler,15,0.0321875,9,81.375
