scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.07593749999999999,226,79.30263157894737
CFSScheduler,2,0.0696875,204,73.8080808080808
CFSScheduler,3,0.08015625,231,76.0
CFSScheduler,4,0.0734375,237,76.5979381443299
CFSScheduler,5,0.07640625,231,83.47169811320755
CFSScheduler,6,0.075625,222,78.8411214953271
CFSScheduler,7,0.07437500000000001,241,80.2
CFSScheduler,8,0.0740625,223,84.68867924528301
CFSScheduler,9,0.07828125,235,74.8
CFSScheduler,10,0.08,230,78.8265306122449
CFSScheduler,11,0.08046874999999999,244,73.18518518518519
CFSScheduler,12,0.07390625,247,79.40163934426229
CFSScheduler,13,0.07437500000000001,235,85.5
CFSScheduler,14,0.0753125,216,82.08196721311475
CFSScheduler,15,0.075,211,100.43023255813954
CFSScheduler,16,0.071875,220,78.36734693877551
CFSScheduler,17,0.0675,200,75.85576923076923
CFSScheduler,18,0.07609375,228,77.15384615384616
CFSScheduler,19,0.07875,262,85.28440366972477
CFSScheduler,20,0.07171875000000001,225,74.21367521367522
CFSScheduler,21,0.06999999999999999,212,73.25714285714285
CFSScheduler,22,0.075625,244,81.05309734513274
CFSScheduler,23,0.07640625,222,70.67368421052632
CFSScheduler,24,0.08421875000000001,258,79.92727272727272
CFSScheduler,25,0.07781249999999999,217,68.41284403669725
CFSScheduler,26,0.07734375,229,83.28301886792453
CFSScheduler,27,0.07125000000000001,221,77.41747572815534
CFSScheduler,28,0.07828125,240,82.29347826086956
CFSScheduler,29,0.07703125,248,84.46296296296296
CFSScheduler,30,0.06859375000000001,216,77.98876404494382
PriorityScheduler,1,0.07390625,242,81.29523809523809
PriorityScheduler,2,0.07125000000000001,204,79.72380952380952
PriorityScheduler,3,0.07593749999999999,201,76.7
PriorityScheduler,4,0.07734375,230,74.01886792452831
PriorityScheduler,5,0.07484375,215,64.59223300970874
PriorityScheduler,6,0.07703125,224,82.74242424242425
PriorityScheduler,7,0.073125,224,74.98989898989899
PriorityScheduler,8,0.07875,249,80.93693693693693
PriorityScheduler,9,0.07375,220,81.75700934579439
PriorityScheduler,10,0.0775,234,86.93137254901961
PriorityScheduler,11,0.06984375,191,82.6470588235294
PriorityScheduler,12,0.0703125,219,85.87962962962963
PriorityScheduler,13,0.07859374999999999,233,77.24752475247524
PriorityScheduler,14,0.073125,216,77.14141414141415
PriorityScheduler,15,0.07453125,211,78.4608695652174
PriorityScheduler,16,0.075,226,80.10576923076923
PriorityScheduler,17,0.0740625,241,80.97520661157024
PriorityScheduler,18,0.069375,206,80.09677419354838
PriorityScheduler,19,0.07640625,230,85.6547619047619
PriorityScheduler,20,0.07593749999999999,219,89.0625
PriorityScheduler,21,0.07703125,233,79.35398230088495
PriorityScheduler,22,0.080625,256,79.0909090909091
PriorityScheduler,23,0.07734375,229,77.61607142857143
PriorityScheduler,24,0.07140624999999999,219,87.08620689655173
PriorityScheduler,25,0.0753125,228,88.3076923076923
PriorityScheduler,26,0.07625,236,69.9304347826087
PriorityScheduler,27,0.07718749999999999,235,80.43157894736842
PriorityScheduler,28,0.0790625,245,82.88775510204081
PriorityScheduler,29,0.0765625,233,75.12173913043478
PriorityScheduler,30,0.07421875,229,78.56637168141593
SingleACOScheduler,1,0.07890625000000001,66,75.97916666666667
SingleACOScheduler,2,0.07796875,98,75.83908045977012
SingleACOScheduler,3,0.07140624999999999,61,77.90425531914893
SingleACOScheduler,4,0.07359375,58,78.3010752688172
SingleACOScheduler,5,0.07515625,64,80.80208333333333
SingleACOScheduler,6,0.07203125,75,73.34285714285714
SingleACOScheduler,7,0.0734375,84,78.25471698113208
SingleACOScheduler,8,0.08140625,86,75.89473684210526
SingleACOScheduler,9,0.071875,77,78.98198198198199
SingleACOScheduler,10,0.0715625,47,75.57303370786516
SingleACOScheduler,11,0.07828125,30,84.83050847457628
SingleACOScheduler,12,0.06999999999999999,68,79.45833333333333
SingleACOScheduler,13,0.07171875000000001,95,80.22131147540983
SingleACOScheduler,14,0.0690625,33,72.20224719101124
SingleACOScheduler,15,0.07703125,67,74.95327102803738
SingleACOScheduler,16,0.06828125,67,80.42105263157895
SingleACOScheduler,17,0.07296875,81,75.6116504854369
SingleACOScheduler,18,0.07578125000000001,59,76.84126984126983
SingleACOScheduler,19,0.07593749999999999,48,79.57575757575758
SingleACOScheduler,20,0.07484375,97,82.6842105263158
SingleACOScheduler,21,0.07546875,50,80.46938775510205
SingleACOScheduler,22,0.07015625,67,78.92045454545455
SingleACOScheduler,23,0.07140624999999999,55,73.10344827586206
SingleACOScheduler,24,0.0796875,94,79.8076923076923
SingleACOScheduler,25,0.0690625,62,72.33663366336634
SingleACOScheduler,26,0.07515625,79,78.9322033898305
SingleACOScheduler,27,0.07015625,97,90.7
SingleACOScheduler,28,0.0728125,40,74.06122448979592
SingleACOScheduler,29,0.07296875,73,79.0204081632653
SingleACOScheduler,30,0.07828125,60,83.15555555555555
StigmergicSentinelsScheduler,1,0.07984375,68,84.00990099009901
StigmergicSentinelsScheduler,2,0.07171875000000001,39,74.82608695652173
StigmergicSentinelsScheduler,3,0.07859374999999999,38,72.13157894736842
StigmergicSentinelsScheduler,4,0.073125,47,72.58
StigmergicSentinelsScheduler,5,0.07609375,55,72.08910891089108
StigmergicSentinelsScheduler,6,0.06921875,54,79.99074074074075
StigmergicSentinelsScheduler,7,0.08109375,67,80.57009345794393
StigmergicSentinelsScheduler,8,0.0721875,54,75.42105263157895
StigmergicSentinelsScheduler,9,0.07484375,23,80.25842696629213
StigmergicSentinelsScheduler,10,0.07078125,43,82.96521739130435
StigmergicSentinelsScheduler,11,0.07859374999999999,75,85.74107142857143
StigmergicSentinelsScheduler,12,0.07609375,51,76.69072164948453
StigmergicSentinelsScheduler,13,0.0740625,56,69.125
StigmergicSentinelsScheduler,14,0.07437500000000001,48,76.76288659793815
StigmergicSentinelsScheduler,15,0.07015625,39,74.62222222222222
StigmergicSentinelsScheduler,16,0.07609375,58,76.34020618556701
StigmergicSentinelsScheduler,17,0.07203125,51,72.71052631578948
StigmergicSentinelsScheduler,18,0.07734375,54,79.36893203883496
StigmergicSentinelsScheduler,19,0.07546875,41,78.7457627118644
StigmergicSentinelsScheduler,20,0.07515625,44,70.64516129032258
StigmergicSentinelsScheduler,21,0.07437500000000001,30,74.01818181818182
StigmergicSentinelsScheduler,22,0.08125,56,73.6218487394958
StigmergicSentinelsScheduler,23,0.06953125,51,83.47422680412372
StigmergicSentinelsScheduler,24,0.0728125,37,77.77981651376147
StigmergicSentinelsScheduler,25,0.07453125,48,80.11926605504587
StigmergicSentinelsScheduler,26,0.07828125,51,69.19811320754717
StigmergicSentinelsScheduler,27,0.0753125,67,80.16346153846153
StigmergicSentinelsScheduler,28,0.075625,30,92.65486725663717
StigmergicSentinelsScheduler,29,0.07765625,57,72.1574074074074
StigmergicSentinelsScheduler,30,0.07296875,52,75.04255319148936
