scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.135625,212,89.21019108280255
CFSScheduler,2,0.159375,231,100.2
CFSScheduler,3,0.1525,243,99.10457516339869
CFSScheduler,4,0.1496875,205,95.85802469135803
CFSScheduler,5,0.1384375,238,103.11333333333333
CFSScheduler,6,0.16343749999999999,258,102.23428571428572
CFSScheduler,7,0.1459375,234,94.57407407407408
CFSScheduler,8,0.1596875,244,94.16374269005848
CFSScheduler,9,0.1446875,216,97.86206896551724
CFSScheduler,10,0.1528125,233,95.84662576687117
CFSScheduler,11,0.1421875,231,94.9625
CFSScheduler,12,0.1478125,216,89.63815789473684
CFSScheduler,13,0.153125,227,87.38787878787879
CFSScheduler,14,0.1396875,206,89.00657894736842
CFSScheduler,15,0.14656249999999998,230,93.50322580645161
CFSScheduler,16,0.153125,243,95.0754716981132
CFSScheduler,17,0.16375,254,92.76829268292683
CFSScheduler,18,0.1546875,214,103.80246913580247
CFSScheduler,19,0.16062500000000002,260,97.80978260869566
CFSScheduler,20,0.15437499999999998,221,95.25
CFSScheduler,21,0.1525,237,98.77987421383648
CFSScheduler,22,0.1446875,218,89.34722222222223
CFSScheduler,23,0.14625,205,92.04255319148936
CFSScheduler,24,0.153125,235,102.81313131313131
CFSScheduler,25,0.15687500000000001,239,95.68518518518519
CFSScheduler,26,0.1646875,265,97.37894736842105
CFSScheduler,27,0.1621875,244,97.00675675675676
CFSScheduler,28,0.1490625,239,99.64044943820225
CFSScheduler,29,0.15187499999999998,239,97.74025974025975
CFSScheduler,30,0.15687500000000001,235,96.73780487804878
PriorityScheduler,1,0.1496875,215,94.95424836601308
PriorityScheduler,2,0.1409375,197,90.74033149171271
PriorityScheduler,3,0.16062500000000002,290,94.21686746987952
PriorityScheduler,4,0.1484375,249,95.89502762430939
PriorityScheduler,5,0.14250000000000002,230,94.18978102189782
PriorityScheduler,6,0.149375,233,90.59872611464968
PriorityScheduler,7,0.1440625,209,94.54609929078015
PriorityScheduler,8,0.14343750000000002,208,95.94927536231884
PriorityScheduler,9,0.1421875,232,92.94082840236686
PriorityScheduler,10,0.141875,216,92.2
PriorityScheduler,11,0.1475,228,101.87974683544304
PriorityScheduler,12,0.1521875,230,96.48809523809524
PriorityScheduler,13,0.1475,230,100.76
PriorityScheduler,14,0.1503125,224,96.4625
PriorityScheduler,15,0.155,244,96.88372093023256
PriorityScheduler,16,0.1509375,251,94.1864406779661
PriorityScheduler,17,0.15156250000000002,224,93.9875
PriorityScheduler,18,0.16343749999999999,246,98.43502824858757
PriorityScheduler,19,0.1453125,234,99.80132450331126
PriorityScheduler,20,0.1459375,244,91.93251533742331
PriorityScheduler,21,0.15437499999999998,234,98.03468208092485
PriorityScheduler,22,0.159375,246,99.03311258278146
PriorityScheduler,23,0.15718749999999998,258,93.08496732026144
PriorityScheduler,24,0.145625,222,88.23333333333333
PriorityScheduler,25,0.14250000000000002,205,85.89795918367346
PriorityScheduler,26,0.14875000000000002,218,100.68639053254438
PriorityScheduler,27,0.1390625,203,90.29931972789116
PriorityScheduler,28,0.1565625,238,99.59872611464968
PriorityScheduler,29,0.15625,252,93.20779220779221
PriorityScheduler,30,0.1503125,227,94.10897435897436
SingleACOScheduler,1,0.15156250000000002,119,101.60377358490567
SingleACOScheduler,2,0.158125,127,94.8443113772455
SingleACOScheduler,3,0.1446875,105,101.0738255033557
SingleACOScheduler,4,0.1625,143,93.4625
SingleACOScheduler,5,0.15875,136,98.11111111111111
SingleACOScheduler,6,0.14625,124,95.67808219178082
SingleACOScheduler,7,0.15125,151,95.98148148148148
SingleACOScheduler,8,0.1440625,96,99.87755102040816
SingleACOScheduler,9,0.14375,131,96.55629139072848
SingleACOScheduler,10,0.161875,133,99.36746987951807
SingleACOScheduler,11,0.1615625,167,100.70552147239263
SingleACOScheduler,12,0.1484375,108,93.27950310559007
SingleACOScheduler,13,0.15156250000000002,123,95.575
SingleACOScheduler,14,0.143125,123,92.97037037037038
SingleACOScheduler,15,0.166875,151,99.85549132947978
SingleACOScheduler,16,0.1459375,127,98.5609756097561
SingleACOScheduler,17,0.149375,128,92.99358974358974
SingleACOScheduler,18,0.14625,144,92.425
SingleACOScheduler,19,0.15156250000000002,120,96.4601226993865
SingleACOScheduler,20,0.141875,114,94.57961783439491
SingleACOScheduler,21,0.1596875,156,94.14367816091954
SingleACOScheduler,22,0.14656249999999998,139,95.84397163120568
SingleACOScheduler,23,0.14343750000000002,134,97.07303370786516
SingleACOScheduler,24,0.1325,122,96.32
SingleACOScheduler,25,0.15187499999999998,103,93.27272727272727
SingleACOScheduler,26,0.1415625,139,88.4113924050633
SingleACOScheduler,27,0.14343750000000002,144,99.87662337662337
SingleACOScheduler,28,0.1540625,125,99.74829931972789
SingleACOScheduler,29,0.1503125,117,95.41843971631205
SingleACOScheduler,30,0.15,109,93.72151898734177
StigmergicSentinelsScheduler,1,0.143125,86,97.62337662337663
StigmergicSentinelsScheduler,2,0.1490625,88,94.43478260869566
StigmergicSentinelsScheduler,3,0.1475,94,99.75776397515529
